,file,color,orientation,type
432,0337_c008_00071190_1,white,front,sedan
1046,0134_c005_00051475_0_flip,white,bl,truck
847,0630_c006_00050435_0,black,front,sedan
446,0361_c009_00072745_0,white,fr,sedan
450,0361_c016_00038740_0,white,front,sedan
290,0231_c016_00034855_1,gray,bl,sedan
47,0063_c012_00009305_0,green,fl,hatchback
566,0420_c003_00063620_0,gray,fl,minivan
342,0281_c015_00037735_0,blue,front,bus
530,0402_c019_00075855_1,yellow,front,truck
1277,0404_c016_00013255_0_flip,yellow,br,truck
664,0515_c019_00056005_0,gray,front,sedan
80,0102_c014_00010480_0,green,back,pickup
231,0180_c004_00044890_0,red,br,sedan
968,0727_c004_00000810_0,black,fl,sedan
1099,0418_c012_00006130_0_flip,gray,bl,minivan
955,0717_c003_00040960_0,black,fl,sedan
1097,0405_c012_00062910_0_flip,yellow,bl,truck
1030,0467_c003_00057095_0_flip,black,right,sedan
14,0006_c017_00023350_0,orange,fl,minivan
637,0486_c005_00040645_0,gray,br,sedan
1252,0319_c008_00086605_0_flip,white,br,sedan
619,0477_c013_00019335_0,black,bl,sedan
715,0581_c003_00087805_0,black,fr,suv
1683,0698_c014_00049215_0_flip,black,fr,sedan
1040,0089_c005_00058785_0_flip,green,bl,pickup
159,0135_c009_00070360_0,white,bl,truck
834,0623_c019_00079705_0,black,bl,sedan
178,0150_c014_00050980_0,white,back,truck
870,0654_c003_00018705_0,black,fl,sedan
1007,0134_c007_00051600_0_flip,white,left,truck
410,0319_c006_00085670_0,white,front,sedan
78,0102_c014_00005400_0,green,fl,pickup
545,0405_c013_00062620_0,yellow,front,truck
385,0310_c007_00017020_0,white,right,sedan
1294,0476_c016_00010230_0_flip,black,br,sedan
652,0507_c003_00055830_0,gray,back,sedan
160,0135_c013_00060440_0,white,bl,truck
908,0663_c013_00040725_0,black,front,sedan
1292,0473_c019_00004565_0_flip,black,br,sedan
788,0602_c007_00028280_1,black,right,suv
625,0477_c019_00018545_0,black,bl,sedan
1225,0281_c006_00031015_1_flip,white,br,bus
1567,0337_c003_00071395_0_flip,white,fr,sedan
1357,0623_c019_00079705_0_flip,black,br,sedan
1100,0421_c002_00064765_0_flip,gray,bl,minivan
1034,0005_c005_00078370_0_flip,orange,bl,hatchback
1198,0179_c015_00026645_0_flip,red,br,sedan
1592,0405_c017_00040470_0_flip,yellow,fr,truck
1313,0515_c015_00054235_0_flip,gray,br,sedan
694,0546_c013_00016630_0,gray,bl,sedan
1156,0065_c006_00061350_0_flip,green,br,bus
205,0173_c019_00068420_0,gray,front,truck
166,0142_c015_00086525_0,white,bl,truck
479,0373_c003_00075995_0,white,fl,minivan
695,0546_c013_00016650_0,gray,bl,sedan
1580,0380_c010_00061585_0_flip,white,fr,minivan
740,0585_c012_00028970_0,black,br,suv
1191,0151_c019_00001850_0_flip,white,br,truck
801,0609_c004_00042270_0,black,br,suv
488,0380_c006_00061610_0,white,bl,minivan
660,0515_c015_00054245_0,gray,bl,sedan
1015,0482_c007_00054855_0_flip,gray,left,sedan
1314,0515_c015_00054245_0_flip,gray,br,sedan
644,0489_c006_00076985_0,gray,fl,sedan
106,0118_c005_00089855_0,yellow,br,truck
254,0192_c004_00031675_0,red,br,minivan
185,0151_c005_00087485_0,white,br,truck
951,0712_c010_00036765_0,black,fl,sedan
769,0593_c015_00042700_0,black,bl,suv
1688,0720_c003_00069795_0_flip,black,fr,sedan
728,0584_c019_00061365_0,black,front,suv
1359,0630_c008_00051305_0_flip,black,br,sedan
1269,0385_c015_00037585_0_flip,white,br,suv
276,0218_c004_00043515_0,red,br,hatchback
1328,0569_c013_00087985_0_flip,gray,br,sedan
859,0642_c017_00021340_0,black,fl,sedan
5,0005_c005_00078370_0,orange,br,hatchback
218,0177_c012_00070020_0,red,fl,sedan
1031,0480_c001_00022180_0_flip,black,right,sedan
99,0113_c017_00081800_0,green,back,pickup
1134,0659_c012_00078845_0_flip,black,bl,sedan
1380,0672_c001_00045530_1_flip,black,br,sedan
472,0369_c017_00035000_0,white,back,minivan
999,0776_c007_00000620_0,black,right,sedan
57,0065_c017_00065835_0,green,back,bus
1312,0507_c009_00056030_0_flip,gray,br,sedan
1336,0585_c015_00066475_1_flip,black,br,suv
358,0296_c013_00060530_0,white,bl,hatchback
252,0192_c003_00031745_0,red,fl,minivan
1475,0014_c014_00039385_0_flip,red,fr,sedan
315,0249_c015_00021260_0,black,front,sedan
469,0369_c012_00034525_0,white,br,minivan
603,0467_c015_00016955_0,black,front,sedan
107,0118_c007_00089885_0,yellow,right,truck
337,0281_c008_00029880_0,blue,fl,bus
1258,0337_c001_00073745_0_flip,white,br,sedan
350,0294_c003_00060990_0,white,bl,hatchback
1175,0126_c019_00003150_0_flip,white,br,truck
547,0405_c014_00065250_0,yellow,back,truck
100,0113_c019_00081915_0,green,front,pickup
1526,0180_c010_00045565_0_flip,red,fr,sedan
1112,0576_c001_00062750_0_flip,black,bl,suv
1248,0318_c008_00006275_0_flip,white,br,sedan
1139,0685_c004_00025425_0_flip,black,bl,sedan
1167,0118_c015_00065425_0_flip,yellow,br,truck
1624,0541_c008_00051040_0_flip,gray,fr,sedan
962,0720_c012_00074190_0,black,br,sedan
199,0172_c002_00079620_0,gray,fl,truck
1505,0134_c010_00061425_0_flip,white,fr,truck
51,0065_c002_00063105_0,green,fl,bus
632,0482_c008_00054200_0,gray,bl,sedan
1668,0654_c010_00019205_0_flip,black,fr,sedan
1244,0315_c006_00026025_0_flip,white,br,sedan
733,0585_c001_00069695_0,black,fl,suv
1458,0598_c009_00042680_0_flip,black,fl,suv
947,0699_c016_00042415_0,black,fr,sedan
249,0188_c015_00047130_0,red,bl,sedan
501,0391_c012_00033975_0,yellow,br,truck
629,0480_c014_00077285_0,black,back,sedan
920,0672_c003_00042710_0,black,fl,sedan
338,0281_c009_00029950_0,blue,fr,bus
736,0585_c009_00024915_0,black,fr,suv
1104,0486_c005_00040645_0_flip,gray,bl,sedan
1684,0712_c010_00036765_0_flip,black,fr,sedan
408,0319_c004_00086380_0,white,fl,sedan
701,0566_c014_00038575_0,gray,back,sedan
324,0273_c001_00040685_0,blue,bl,bus
7,0005_c008_00077890_0,orange,bl,hatchback
286,0218_c011_00044120_0,red,bl,hatchback
981,0753_c010_00048435_0,black,fl,sedan
476,0371_c019_00063715_0,white,bl,minivan
983,0753_c011_00048445_0,black,bl,sedan
196,0166_c013_00038845_0,gray,front,truck
238,0182_c010_00039865_0,red,fl,sedan
151,0134_c009_00059655_0,white,front,truck
1456,0585_c009_00024920_0_flip,black,fl,suv
1652,0610_c014_00071170_0_flip,black,fr,suv
415,0322_c002_00040960_0,white,back,sedan
519,0402_c010_00055530_0,yellow,back,truck
148,0134_c007_00051600_0,white,right,truck
702,0566_c017_00037650_1,gray,back,sedan
662,0515_c016_00056935_0,gray,front,sedan
1452,0581_c003_00087805_0_flip,black,fl,suv
142,0134_c002_00000395_0,white,back,truck
202,0172_c019_00087150_0,gray,front,truck
300,0241_c019_00034940_1,gray,front,van
69,0086_c015_00081750_0,gray,front,pickup
31,0030_c008_00049745_0,red,front,sedan
386,0310_c010_00015165_0,white,back,sedan
1484,0063_c017_00008690_2_flip,green,fr,hatchback
303,0247_c012_00084200_0,brown,fl,sedan
1401,0761_c001_00088055_0_flip,black,br,sedan
123,0122_c016_00039710_0,blue,fr,truck
1273,0392_c015_00000845_0_flip,yellow,br,truck
457,0365_c009_00086235_0,white,fr,minivan
1438,0380_c009_00060695_0_flip,white,fl,minivan
42,0042_c010_00086400_0,blue,back,sedan
341,0281_c012_00034445_0,white,br,bus
1616,0510_c003_00030235_0_flip,gray,fr,sedan
1431,0306_c003_00016520_0_flip,white,fl,hatchback
255,0192_c006_00032310_0,red,bl,minivan
997,0775_c003_00071580_0,black,bl,sedan
976,0753_c004_00047805_0,black,br,sedan
482,0380_c002_00062705_0,white,front,minivan
1550,0273_c010_00037615_0_flip,blue,fr,bus
227,0180_c002_00046440_0,red,front,sedan
707,0576_c001_00062750_0,black,br,suv
1133,0659_c004_00074340_0_flip,black,bl,sedan
414,0322_c001_00040365_0,white,front,sedan
1591,0405_c012_00041015_0_flip,yellow,fr,truck
1613,0477_c014_00018050_0_flip,black,fr,sedan
